year,fuel_type,asset_id,asset_domain,asset_type,scenario
2053,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2054,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2055,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2056,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2057,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2058,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2059,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2060,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2061,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2062,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2063,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2064,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2065,HPL,F_753421_2717033,building,building_aggregate,hybrid_gas
2020,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2021,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2022,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2023,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2024,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2025,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2026,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2027,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2028,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2029,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2030,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2031,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2032,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2033,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2034,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2035,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2036,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2037,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2038,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2039,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
2040,GAS,F_753674_2717470,building,building_aggregate,hybrid_gas
