year,retrofit_year,asset_id,asset_domain,asset_type,scenario
2028,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2029,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2030,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2031,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2032,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2033,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2034,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2035,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2036,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2037,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2038,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2039,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2040,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2041,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2042,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2043,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2044,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2045,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2046,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2047,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2048,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2049,False,F_353068_2906466,building,building_aggregate,hybrid_gas
2050,False,F_353068_2906466,building,building_aggregate,hybrid_gas
