year,consumption_emissions,asset_id,energy_type,asset_domain,asset_type,scenario
2026,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2027,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2028,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2029,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2030,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2031,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2032,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2033,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2034,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2035,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2036,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2037,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2038,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2039,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2040,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2041,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2042,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2043,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2044,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2045,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2046,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2047,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2048,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2049,0.0,IL_1224308038,electricity,building,building_aggregate,continued_gas
2024,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2025,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2026,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2027,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2028,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2029,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2030,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2031,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2032,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2033,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2034,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2035,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2036,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2037,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2038,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2039,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2040,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2041,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2042,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2043,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2044,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2045,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2046,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2047,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2048,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2049,12.19763345604518,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2024,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2025,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2026,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2027,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2028,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2029,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2030,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2031,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2032,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2033,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2034,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2035,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2036,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2037,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2038,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2039,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2040,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2041,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2042,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2043,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2044,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2045,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2046,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2047,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2048,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2049,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2024,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2025,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2026,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2027,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2028,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2029,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2030,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2031,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2032,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2033,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2034,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2035,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2036,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2037,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2038,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2039,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2040,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2041,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2042,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2043,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2044,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2045,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2046,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2047,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
