year,consumption,asset_id,energy_type,asset_domain,asset_type,scenario
2044,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2045,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2046,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2047,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2048,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2049,10109.046375,IL_1224308038,electricity,building,building_aggregate,continued_gas
2024,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2025,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2026,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2027,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2028,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2029,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2030,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2031,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2032,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2033,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2034,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2035,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2036,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2037,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2038,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2039,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2040,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2041,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2042,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2043,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2044,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2045,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2046,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2047,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2048,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2049,61161.00544485779,IL_1224308038,natural_gas,building,building_aggregate,continued_gas
2024,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2025,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2026,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2027,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2028,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2029,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2030,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2031,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2032,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2033,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2034,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2035,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2036,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2037,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2038,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2039,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2040,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2041,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2042,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2043,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2044,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2045,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2046,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2047,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2048,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2049,0.0,IL_1224308038,propane,building,building_aggregate,continued_gas
2024,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2025,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2026,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2027,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2028,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2029,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2030,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2031,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2032,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2033,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2034,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2035,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2036,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2037,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2038,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2039,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2040,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2041,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2042,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2043,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
2044,0.0,IL_1224308038,fuel_oil,building,building_aggregate,continued_gas
