year,peak_consump,asset_id,energy_type,asset_domain,asset_type,scenario
2035,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2036,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2037,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2038,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2039,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2040,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2041,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2042,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2043,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2044,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2045,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2046,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2047,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2048,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2049,16.988,TB_2,electricity,elec_network,elec_xmfr,ex_uten
2025,19.424,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2026,19.424,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2027,19.424,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2028,19.424,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2029,19.424,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2030,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2031,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2032,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2033,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2034,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2035,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2036,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2037,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2038,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2039,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2040,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2041,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2042,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2043,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2044,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2045,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2046,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2047,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2048,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2049,19.601,TB_3,electricity,elec_network,elec_xmfr,ex_uten
2025,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_uten
2026,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_uten
2027,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_uten
2028,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_uten
2029,15.832,TB_4,electricity,elec_network,elec_xmfr,ex_uten
2030,15.715,TB_4,electricity,elec_network,elec_xmfr,ex_uten
