LUC,DESC,USE_CLASS,mapping_label
340,OLD STYLE,Commercial,340 - OLD STYLE
340,FUNERAL HM,Commercial,340 - FUNERAL HM
340,SCHOOL,Commercial,340 - SCHOOL
340,GOVT BLDG,Commercial,340 - GOVT BLDG
341,BANK,Commercial,341 - BANK
341,OFFICE,Commercial,341 - OFFICE
341,,Commercial,341 - 
342,OFFICE-PRO,Commercial,342 - OFFICE-PRO
342,OFFICE,Commercial,342 - OFFICE
343,CONDO-OFC,Commercial,343 - CONDO-OFC
344,CONDO-RTL,Commercial,344 - CONDO-RTL
351,OFFICE,Commercial,351 - OFFICE
351,SCHOOL,Commercial,351 - SCHOOL
352,OFFICE,Commercial,352 - OFFICE
353,LODGE,Commercial,353 - LODGE
353,NIGHT CLUB,Commercial,353 - NIGHT CLUB
364,AUDITORIUM,Commercial,364 - AUDITORIUM
369,OFFICE,Commercial,369 - OFFICE
369,CHURCH/SYN,Commercial,369 - CHURCH/SYN
369,SCHOOL,Commercial,369 - SCHOOL
370,BOWLING AL,Commercial,370 - BOWLING AL
388,,Commercial,388 - 
390,,Commercial,390 - 
391,,Commercial,391 - 
392,,Commercial,392 - 
393,MILL,Commercial,393 - MILL
400,WAREHOUSE,Commercial,400 - WAREHOUSE
400,INDUST-LT,Commercial,400 - INDUST-LT
400,INDUSTRIAL,Commercial,400 - INDUSTRIAL
400,,Commercial,400 - 
400,MILL,Commercial,400 - MILL
400,STORE,Commercial,400 - STORE
400,INDUST-HVY,Commercial,400 - INDUST-HVY
401,WAREHOUSE,Commercial,401 - WAREHOUSE
401,INDUSTRIAL,Commercial,401 - INDUSTRIAL
401,MILL,Commercial,401 - MILL
401,,Commercial,401 - 
401,GARAGE,Commercial,401 - GARAGE
402,OFFICE,Commercial,402 - OFFICE
403,,Commercial,403 - 
403,PMP/VLV HS,Commercial,403 - PMP/VLV HS
403,GARAGE,Commercial,403 - GARAGE
404,OFFICE-PRO,Commercial,404 - OFFICE-PRO
412,,Commercial,412 - 
420,,Commercial,420 - 
428,,Commercial,428 - 
430,RELAY BLDG,Commercial,430 - RELAY BLDG
431,,Commercial,431 - 
433,UTIL BLDG,Commercial,433 - UTIL BLDG
440,,Commercial,440 - 
440,INDUSTRIAL,Commercial,440 - INDUSTRIAL
442,,Commercial,442 - 
451,MILL,Commercial,451 - MILL
452,,Commercial,452 - 
601,,Commercial,601 - 
713,,Commercial,713 - 
716,,Commercial,716 - 
718,,Commercial,718 - 
720,,Commercial,720 - 
803,,Commercial,803 - 
804,,Commercial,804 - 
805,,Commercial,805 - 
900,OFFICE,Commercial,900 - OFFICE
900,,Commercial,900 - 
900,POST OFF,Commercial,900 - POST OFF
901,,Commercial,901 - 
903,STORE,Commercial,903 - STORE
903,ROW HOUSE,Commercial,903 - ROW HOUSE
903,COMM BLOCK,Commercial,903 - COMM BLOCK
903,OLD STYLE,Commercial,903 - OLD STYLE
903,,Commercial,903 - 
903,COLONIAL,Commercial,903 - COLONIAL
903,LODGE,Commercial,903 - LODGE
903,GOVT BLDG,Commercial,903 - GOVT BLDG
909,,Commercial,909 - 
910,,Commercial,910 - 
910,GOVT BLDG,Commercial,910 - GOVT BLDG
911,,Commercial,911 - 
913,HOSPITAL,Commercial,913 - HOSPITAL
917,OFFICE-PRO,Commercial,917 - OFFICE-PRO
917,MILL,Commercial,917 - MILL
920,,Commercial,920 - 
920,OFFICE,Commercial,920 - OFFICE
920,"CAMP,SEAS",Commercial,"920 - CAMP,SEAS"
920,RINK,Commercial,920 - RINK
921,,Commercial,921 - 
923,,Commercial,923 - 
924,,Commercial,924 - 
926,GOVT BLDG,Commercial,926 - GOVT BLDG
927,,Commercial,927 - 
927,SCHOOL,Commercial,927 - SCHOOL
929,GOVT BLDG,Commercial,929 - GOVT BLDG
930,,Commercial,930 - 
930,GYMNASIUM,Commercial,930 - GYMNASIUM
931,PMP/VLV HS,Commercial,931 - PMP/VLV HS
931,GOVT BLDG,Commercial,931 - GOVT BLDG
931,,Commercial,931 - 
931,SCHOOL,Commercial,931 - SCHOOL
931,OLD STYLE,Commercial,931 - OLD STYLE
931,FIRE STAT,Commercial,931 - FIRE STAT
931,PARKING,Commercial,931 - PARKING
931,MX USE APT,Commercial,931 - MX USE APT
931,ROW HOUSE,Commercial,931 - ROW HOUSE
931,NURSING HM,Commercial,931 - NURSING HM
931,TOWER,Commercial,931 - TOWER
931,UTIL BLDG,Commercial,931 - UTIL BLDG
931,HEALTH CLB,Commercial,931 - HEALTH CLB
931,PROCESSING,Commercial,931 - PROCESSING
931,RELAY BLDG,Commercial,931 - RELAY BLDG
931,GARAGE,Commercial,931 - GARAGE
931,GYMNASIUM,Commercial,931 - GYMNASIUM
931,AUDITORIUM,Commercial,931 - AUDITORIUM
931,MX USE < 9,Commercial,931 - MX USE < 9
931,DUPLEX,Small Multifamily,931 - DUPLEX
931,APRTMNT-GN,Small Multifamily,931 - APRTMNT-GN
931,2 FAMILY,Small Multifamily,931 - 2 FAMILY
931,MILL,Commercial,931 - MILL
931,WAREHOUSE,Commercial,931 - WAREHOUSE
931,DORMITORY,Large Residential,931 - DORMITORY
932,,Commercial,932 - 
934,4-8 FAM,Small Multifamily,934 - 4-8 FAM
935,GOVT BLDG,Commercial,935 - GOVT BLDG
936,,Com,936 - 
937,MILL,Commercial,937 - MILL
937,4-8 FAM,Small Multifamily,937 - 4-8 FAM
937,OLD STYLE,Single Family,937 - OLD STYLE
937,LODGE,Commercial,937 - LODGE
954,CHURCH/SYN,Commercial,954 - CHURCH/SYN
954,LODGE,Commercial,954 - LODGE
954,,Commercial,954 - 
955,3 FAMILY,Small Multifamily,955 - 3 FAMILY
955,CONVEN MKT,Commercial,955 - CONVEN MKT
955,OFFICE,Commercial,955 - OFFICE
955,4-8 FAMILY,Large Residential,955 - 4-8 FAMILY
955,R/M SHOP,Commercial,955 - R/M SHOP
955,NURSING HM,Large Residential,955 - NURSING HM
955,DORMITORY,Large Residential,955 - DORMITORY
955,,Commercial,955 - 
957,,Commercial,957 - 
957,OFFICE-PRO,Commercial,957 - OFFICE-PRO
957,OFFICE,Commercial,957 - OFFICE
957,CHURCH/SYN,Commercial,957 - CHURCH/SYN
957,NURSING HM,Large Residential,957 - NURSING HM
957,COMM BLOCK,Commercial,957 - COMM BLOCK
957,REPAIR GAR,Commercial,957 - REPAIR GAR
957,WAREHOUSE,Commercial,957 - WAREHOUSE
957,INDUST-LT,Commercial,957 - INDUST-LT
957,LODGE,Commercial,957 - LODGE
957,MILL,Commercial,957 - MILL
957,OLD STYLE,Large Residential,957 - OLD STYLE
957,UTIL BLDG,Commercial,957 - UTIL BLDG
957,SCHOOL,Commercial,957 - SCHOOL
957,2 FAMILY,Small Multifamily,957 - 2 FAMILY
957,HEALTH CLB,Commercial,957 - HEALTH CLB
957,DORMITORY,Large Residential,957 - DORMITORY
958,,Commercial,958 - 
959,RANCH,Single Family,959 - RANCH
959,3 FAMILY,Small Multifamily,959 - 3 FAMILY
959,4-8 FAM,Large Residential,959 - 4-8 FAM
959,TUDOR,Single Family,959 - TUDOR
959,2 FAMILY,Small Multifamily,959 - 2 FAMILY
959,,Small Multifamily,959 - 
960,,Commercial,960 - 
960,CHURCH/SYN,Commercial,960 - CHURCH/SYN
960,OLD STYLE,Single Family,960 - OLD STYLE
960,RANCH,Single Family,960 - RANCH
960,DORMITORY,Large Residential,960 - DORMITORY
960,UTIL BLDG,Commercial,960 - UTIL BLDG
960,COLONIAL,Single Family,960 - COLONIAL
960,SCHOOL,Commercial,960 - SCHOOL
960,MX USE < 9,Commercial,960 - MX USE < 9
960,GYMNASIUM,Commercial,960 - GYMNASIUM
960,INN,Commercial,960 - INN
960,BANK,Commercial,960 - BANK
960,STORE,Commercial,960 - STORE
960,OFFICE,Commercial,960 - OFFICE
960,APT ASSIT,Commercial,960 - APT ASSIT
962,VICTORIAN,Single Family,962 - VICTORIAN
970,APRTMNT-TH,Small Multifamily,970 - APRTMNT-TH
970,,Commercial,970 - 
970,GARAGE,Commercial,970 - GARAGE
970,WAREHOUSE,,970 - WAREHOUSE
970,APRTMNT-HR,Small Multifamily,970 - APRTMNT-HR
970,2 FAMILY,Small Multifamily,970 - 2 FAMILY
970,4-8 FAMILY,Large Residential,970 - 4-8 FAMILY
970,DUPLEX,Small Multifamily,970 - DUPLEX
970,APRTMNT-GN,Small Multifamily,970 - APRTMNT-GN
970,3 FAMILY,Small Multifamily,970 - 3 FAMILY
970,ROW HOUSE,Single Family,970 - ROW HOUSE
970,4-8 FAM,Large Residential,970 - 4-8 FAM
970,GOVT BLDG,Commercial,970 - GOVT BLDG
971,,Commercial,971 - 
971,RELAY BLDG,Commercial,971 - RELAY BLDG
971,PMP/VLV HS,Commercial,971 - PMP/VLV HS
971,MILL,Commercial,971 - MILL
971,INDUST-HVY,Commercial,971 - INDUST-HVY
971,WAREHOUSE,Commercial,971 - WAREHOUSE
971,INDUSTRIAL,Commercial,971 - INDUSTRIAL
971,OFFICE,Commercial,971 - OFFICE
971,GOVT BLDG,Commercial,971 - GOVT BLDG
971,GARAGE,Commercial,971 - GARAGE
972,,Commercial,972 - 
972,FIRE STAT,Commercial,972 - FIRE STAT
972,PMP/VLV HS,Commercial,972 - PMP/VLV HS
972,TRUCK TERM,Commercial,972 - TRUCK TERM
972,OFFICE,Commercial,972 - OFFICE
980,,Commercial,980 - 
999,,Commercial,999 - 
