year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2031,1639.8467910857842,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2032,1656.2452565351507,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2033,1672.8077085876916,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2034,1689.535788237622,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2035,1706.4311467353712,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2036,1723.4954558437958,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2037,1740.73040783818,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2038,1758.1377155062369,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2039,1775.7190916356776,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2040,1793.4762900390708,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2041,2417.6940242513824,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2042,2441.870970106382,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2043,2466.289677206538,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2044,2490.952582191997,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2045,2515.862108013917,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2046,2541.020718690424,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2047,2566.4309329956027,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2048,2592.0952423255585,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2049,2618.016192832356,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2050,2644.196358046037,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2051,2670.6383114966447,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2052,2697.344695159171,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2053,2724.3181510086056,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2054,2751.56133470893,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2055,2779.0769429910933,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2056,2806.8677136530137,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2057,2834.9363844926083,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2058,2863.2857480637545,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2059,2891.9186106093184,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2060,2920.837792061155,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2061,2950.0461807960687,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2062,2979.546637812882,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2063,3009.34210624436,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2064,3039.435529223262,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2065,3069.8298772603302,F_350459_2902427,electricity,building,building_aggregate,hybrid_gas
2020,2375.8311028061034,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2021,2375.8311028061034,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2022,2375.8311028061034,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2023,2375.8311028061034,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2024,2375.8311028061034,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2025,3117.7024528448355,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2026,3201.730202428437,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2027,3289.5505353613003,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2028,3381.340859494865,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2029,3477.2870111743828,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2030,3577.58376709076,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2031,3682.4352878855007,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2032,3792.055493508728,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
2033,3906.6685750710335,F_350459_2902427,natural_gas,building,building_aggregate,hybrid_gas
