year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2049,31.25,GS035,gas_network,gas_service,hybrid_gas
2050,31.25,GS035,gas_network,gas_service,hybrid_gas
2051,31.25,GS035,gas_network,gas_service,hybrid_gas
2052,31.25,GS035,gas_network,gas_service,hybrid_gas
2053,31.25,GS035,gas_network,gas_service,hybrid_gas
2054,31.25,GS035,gas_network,gas_service,hybrid_gas
2055,31.25,GS035,gas_network,gas_service,hybrid_gas
2056,31.25,GS035,gas_network,gas_service,hybrid_gas
2057,31.25,GS035,gas_network,gas_service,hybrid_gas
2058,31.25,GS035,gas_network,gas_service,hybrid_gas
2059,31.25,GS035,gas_network,gas_service,hybrid_gas
2060,31.25,GS035,gas_network,gas_service,hybrid_gas
2061,31.25,GS035,gas_network,gas_service,hybrid_gas
2062,31.25,GS035,gas_network,gas_service,hybrid_gas
2063,31.25,GS035,gas_network,gas_service,hybrid_gas
2064,31.25,GS035,gas_network,gas_service,hybrid_gas
2065,31.25,GS035,gas_network,gas_service,hybrid_gas
2020,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2021,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2022,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2023,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2024,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2025,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2026,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2027,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2028,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2029,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2030,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2031,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2032,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2033,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2034,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2035,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2036,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2037,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2038,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2039,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2040,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2041,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2042,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2043,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2044,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2045,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2046,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2047,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2048,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2049,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2050,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2051,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2052,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2053,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2054,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2055,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2056,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2057,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2058,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2059,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
2060,22.727272727272727,GS030,gas_network,gas_service,hybrid_gas
