year,leaks,asset_id,asset_domain,asset_type,scenario
2020,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2021,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2022,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2023,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2024,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2025,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2026,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2027,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2028,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2029,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2030,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2031,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2032,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2033,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2034,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2035,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2036,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2037,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2038,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2039,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2040,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2041,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2042,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2043,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2044,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2045,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2046,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2047,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2048,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2049,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2050,2.0,F_714956_2939056,building,building_aggregate,continued_gas
2051,2.0,F_714956_2939056,building,building_aggregate,continued_gas
