year,consumption_costs,asset_id,energy_type,asset_domain,asset_type,scenario
2040,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2041,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2042,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2043,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2044,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2045,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2046,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2047,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2048,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2049,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2050,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2051,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2052,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2053,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2054,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2055,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2056,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2057,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2058,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2059,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2060,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2061,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2062,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2063,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2064,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2065,0.0,F_714592_2938902,fuel_oil,building,building_aggregate,hybrid_gas
2020,3406.120289294588,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2021,3406.120289294588,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2022,3406.120289294588,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2023,3406.120289294588,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2024,3406.120289294588,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2025,3433.2606900060987,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2026,3446.830890361854,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2027,3460.4010907176093,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2028,3473.9712910733647,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2029,3501.111691784876,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2030,3514.6818921406307,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2031,3528.252092496386,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2032,3555.3924932078967,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2033,3568.962693563652,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2034,3582.532893919408,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2035,3609.673294630918,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2036,3623.243494986673,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2037,3650.383895698184,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2038,3663.9540960539393,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2039,3691.09449676545,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2040,4861.413516009793,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2041,4897.028267042831,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2042,4914.835642559351,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2043,4950.45039359239,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2044,4968.257769108909,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2045,5003.872520141948,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2046,5021.679895658467,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2047,5057.2946466915055,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2048,5075.102022208025,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2049,5110.716773241064,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2050,5146.331524274103,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2051,5164.1388997906215,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2052,5199.753650823661,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2053,5217.56102634018,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2054,5253.175777373219,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2055,5288.790528406258,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2056,5324.4052794392965,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2057,5342.212654955816,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2058,5377.827405988855,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2059,5413.442157021894,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2060,5449.056908054932,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2061,5466.864283571452,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2062,5502.47903460449,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2063,5538.093785637529,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2064,5573.708536670568,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2065,5609.323287703607,F_714723_2938816,electricity,building,building_aggregate,hybrid_gas
2020,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2021,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2022,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2023,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2024,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2025,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2026,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2027,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2028,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2029,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2030,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2031,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2032,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2033,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2034,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2035,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2036,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2037,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2038,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2039,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2040,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2041,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2042,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2043,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
2044,0.0,F_714723_2938816,natural_gas,building,building_aggregate,hybrid_gas
